JOURNAL,ABBRV,KEY
FEBS letters,FEBS Lett.,FEBSL
Faraday Discussions,Faraday Disc.,
Frontiers in Energy Research,Front. Energ. Res.,FER
Gene Function \& Disease,Gene Funct. Dis.,
Industrial \& Engineering Chemistry Research,Ind. Eng. Chem. Res.,IandEC
Inorganic Chemistry,Inorg. Chem.,
International Journal of Hydrogen Energy,Int. J. Hyd. Energ.,IJHE
JACS Au,JACS Au,
Joule,Joule,
Journal of Applied Chrystallography,J. Appl. Chrystallogr.,
Journal of Biological Chemistry,J. Biol. Chem.,
Journal of Catalysis,J. Catal.,JCat
Journal of Chemical Education,J. Chem. Educ.,
Journal of Chemical Information and Modeling,J. Chem. Inf. Model.,
Journal of Chemical Theory and Computation,J. Chem. Theory Comput.,
Journal of Electroanalytical Chemistry,J. Electroanal. Chem.,JEAC
Journal of Electroanalytical Chemistry and Interfacial Electrochemistry,J. Electroanal. Chem. Interfacial Electrochem.,JEAC
Journal of Materials Chemistry A,J. Mat. Chem. A,JMCA
Journal of Materials Science and Technology,J. Mat. Sci. Technol.,
Journal of Power Sources,J. Power Sources,JPS
Journal of Raman Spectroscopy,J. Raman Spectrosc.,
Journal of Solid State Electrochemistry,J. Solid State Electrochem.,JSSE
Journal of Theoretical Biology,J. Theor. Biol.,JTB
Journal of the American Chemical Society,J. Am. Chem. Soc.,JACS
Journal of the Electrochemical Society,J. Electrochem. Soc.,JECS
Langmuir,Langmuir,
Matter,Matter,
Molecular Informatics,Mol. Inform.,MolInf
Molecular and Cellular Biochemistry,Mol. Cell. Biochem.,
Nano Energy,Nano Energ.,
Nature Catalysis,Nat. Catal.,NCat
Nature Chemistry,Nat. Chem.,NChem
Nature Communications,Nat. Commun.,NCom
Nature Energy,Nat. Energ.,NEnerg
Nature Materials,Nat. Mater.,NMat
Nature chemical biology,Nat. Chem. Biol.,
Origins of Life and Evolution of the Biosphere,Orig. Life. Evol. Biosph.,
Perspectives in Science,Perspect. Sci.,
Physical Biology,Phys. Biol.,
Physical Chemistry Chemical Physics,Phys. Chem. Chem. Phys.,PCCP
Physical Review E,Phys. Rev. E,PRE
Physical Review Letters,Phys. Rev. Lett.,PRL
Plant Molecular Biology,Plant Mol. Biol.,
Plant Physiology and Biochemistry,Plant Physiol. Biochem.,
Proceedings of the National Academy of Sciences,Proc. Natl. Acad. Sci.,PNAS
Pure and Applied Chemistry,Pure Appl. Chem.,IUPAC
RSC Advances,RSC Adv.,RSCAdv
RSC Chemical Biology,RSC Chem. Biol.,
Renewable and Sustainable Energy Reviews,Renew. Sustain. Energ. Rev.,
Science,Science,
Science Advances,Sci. Adv.,
Scientific Reports,Sci. Rep.,
Small,Small,
Springerplus,Springerplus,
Surface Science,Surf. Sci,
The FEBS journal,FEBS J.,
The Journal of Biochemistry,J. Biochem.,
The Journal of Chemical Physics,J. Chem. Phys.,JCP
The Journal of Physical Chemistry,J. Phys. Chem.,JPC
The Journal of Physical Chemistry A,J. Phys. Chem. A,JPCA
The Journal of Physical Chemistry B,J. Phys. Chem. B,JPCB
The Journal of Physical Chemistry C,J. Phys. Chem. C,JPCC
The Journal of Physical Chemistry Letters,J. Phys. Chem. Lett.,JPCL
Topics in Catalysis,Top. Catal.,TopCat
Transactions of the Faraday Society,Trans. Faraday Soc.,TransFaraday
Trends in Biotechnology,Trends Biotechnol.,
Trends in Plant Science,Trends Plant Sci.,
Wiley Interdisciplinary Reviews: Computational Molecular Science,WIRES Comput. Mol. Sci.,WIRES
"Zeitschrift f{\""u}r Physikalische Chemie",Z. Phys. Chem.,ZPC
bioRxiv,bioRxiv,
