Date,Conference,Venue,Country_or_City,Title,Authors,Format,Notes
20180313,The 3rd Solar Fuel Material Workshop,Osaka University,Japan,Development Strategies of Oxygen Evolution Catalysts Based on the Reaction Kinetics of Iridium Oxide and Manganese Oxide,"Hideshi Ooka, Ryuhei Nakamura",Oral,
20181012,The 6th International Symposium on Solar Fuels and Solar Cells,Dalian,China,Element Strategy of Oxygen Evolution Catalysis Based on the Reaction Mechanism of Iridium Oxide,"Hideshi Ooka, Ryuhei Nakamura",Poster,
20190124,第5回CSRS-ITbMジョイントワークショップ,名古屋大学,名古屋,Spectral Analysis Using Machine Learning for Advanced Catalysis Development,Hideshi Ooka,Poster,
20190623,2019 North American Catalysis Society Meeting,Chicago,USA,"Element Strategy of Oxygen Evolution Electrocatalysis Based on the Reaction Mechanism of Manganese Oxide, Iron Oxide, and Iridium Oxide","Hideshi Ooka, Ryuhei Nakamura",Oral,
20190905,電気化学会秋季大会,山梨大学,甲府,結合エネルギーから見た電極触媒の開発,大岡英史、中村龍平,Oral,
20191119,3rd International Solar Fuels Conference-Young,Hiroshima,Japan,Difference in the Binding Energy Which Optimizes the Rates and Overpotentials of Electrocatalysis,"Hideshi Ooka, Ryuhei Nakamura",Oral,
20191120,3rd International Solar Fuels Conference/International Conference on Artificial Photosynthesis 2019 (Joint symposium),Hiroshima,Japan,Difference in the Binding Energy Which Optimizes the Rates and Overpotentials of Electrocatalysis,"Hideshi Ooka, Ryuhei Nakamura",Poster,
20191106,RIKEN CSRS Interim Report,RIKEN,Japan,Understanding Catalytic Efficiency based on the Topology of the Reaction Network,"Hideshi Ooka, Ryuhei Nakamura",Poster,
20180605,Seminar at Nam Lab,ソウル大学校,Korea,Element Strategy of Multi-Electron Transfer Catalysis: Lessons from the Oxygen Evolution Strategies of Iridium Oxide and Photosystem II,Hideshi Ooka,Invited,
20181121,第４回キャタリストインフォマティクスシンポジウム,イイノホール,東京,情報科学と電子移動論に基づく電極触媒に関する研究,大岡英史,Invited,
20190927,The 4th Solar Fuel Material Workshop,Seoul National University,Korea,Shift of the Optimum Binding Energy at Higher Rates of Catalysis,"Hideshi Ooka, Ryuhei Nakamura",Invited,
20200117,iTHEMS Weekly Meeting,RIKEN,Wako,Balancing Thermodynamics and Kinetics to Achieve Maximum Rates in Catalysis,Hideshi Ooka,Oral,
20200203,"8th ELSI Symposium ""Extending Views of Catalysis""",Tokyo Institute of Technology,Japan,From Thermodynamics to Kinetics: Predicting New Catalysts By Revisiting the Sabatier Principle,"Hideshi Ooka, Ryuhei Nakamura",Invited,若手基調講演
20211207,和光市民大学,和光市役所,和光,水の電気分解による水素製造：現状と未来,大岡英史,Invited,
20221208,セミナー #212203,技術情報協会,オンライン,実験データに基づく触媒反応パラメーターの推定：活性、選択性への応用,大岡英史,Invited,
20230116,CO World Kickoff Meeting,"Tokyo Institute of Technology, Earth-Life Science Institute",Tokyo,Towards Quantitative Predictions of Chemical Reaction Networks,Hideshi Ooka,Oral,
20230227,第1回分子生命反応創発討論会,金沢大学,金沢,Optimum Km to Maximize Enzymatic Activity,"Hideshi Ooka, Yoko Chiba, Ryuhei Nakamura",Poster,
20230307,創発研究者とマテリアル先端リサーチインフラの出会いの場,大阪大学産業科学研究所,大阪,非平衡状態における触媒反応ネットワーク理論の開拓,大岡英史,Poster,
20230309,触媒・酵素・エコシステムの統合理解に向けた数理実験融合,理化学研究所,和光キャンパス,Analysis and Experimental Verification of Dissipative Chemical Reaction Networks Towards Understanding Sustainability,Hideshi Ooka,Invited,
20230316,Lab-Theory Standing Talk,理化学研究所,和光キャンパス,Introduction as an Experimentalist Turned Theoretician,Hideshi Ooka,Oral,理論と実験の融合促進に向けた理研iTHEMSの第1回のセミナー
20230327,電気化学会第90回大会,Tohoku Institute of Technology,Sendai,酵素活性を最大化する結合性相互作用の予測,大岡英史、千葉洋子、中村龍平,Oral,
20230521,日本地球惑星科学連合2023年大会,幕張メッセ,千葉,一般的な化学反応ネットワークにおける自己触媒増幅率の予測,大岡英史,Oral,
20230616,Seminar at Exner Lab,University of Duisberg-Essen,Germany,Rationalizing the Influence of the Overpotential on the Activity and Stability of Electrocatalysts ,Hideshi Ooka,Oral,
20230620,Magneto Special Anodes,Schiedam,The Netherlands,Theoretical Requirements for Active and Stable Anode Materials,Hideshi Ooka,Oral,
20230621,Seminar at Koper Lab,Leiden University,The Netherlands,Theoretical Advancements towards Predicting the Activity and Stability of Electrocatalysts using Microkinetics and Applied Mathematics,Hideshi Ooka,Oral,
20230806,MERIT-WINGS合宿,レクトーレ湯河原,箱根,触媒理論の開拓：実験出身の理論研究者から見た研究の楽しさ,大岡英史,Invited,
20230820,10th International Congress on Industrial and Applied Mathematics,Waseda University,Tokyo,Mathematical Theory to Maximize Enzymatic Activity Under Thermodynamic Constraints,"Hideshi Ooka, Yoko Chiba, Ryuhei Nakamura",Oral,
20230904,2023年度日本数理生物学会年会,奈良女子大学,奈良,散逸化学反応ネットワークの寿命予測,大岡英史、Marie E. Wintzer、小松弘和、足立精宏、李愛龍、孔爽、橋爪大輔、望月敦史、中村龍平,Oral,
20230908,74th Annual Meeting of the International Society of Electrochemistry,Lyon,France,Predicting the Operational Lifetime of Electrocatalysis,"Hideshi Ooka, Marie E. Wintzer, Ryuhei Nakamura",Oral,
20230911,2023 Workshop on Bidirectional Catalysis From Molecular Machines to Enzymes,パリ市立大学,France,Kinetic Modeling of Enzymes and Electrocatalysts,Hideshi Ooka,Invited,
20230916,先輩の授業を受けよう,大阪教育大学附属中学校池田校舎,大阪,研究って楽しい！え、勉強も楽しいの？,大岡英史,Invited,
20231216,MRM2023,Kyoto International Conference Center,Kyoto,Theory towards Predicting the Lifetime of Electrocatalysis ,"Hideshi Ooka, Marie E. Wintzer, Hirokazu Komatsu, Kiyohiro Adachi, Ailong Li, Shuang Kong, Daisuke Hashizume, Atsushi Mochizuki, Ryuhei Nakamura",Poster,
20240213,RIKEN Discovery Evening,RIKEN,Wako,Acquiring Skills Toward Uncovering the Laws of Nature,Hideshi Ooka,Oral,
20240314,電気化学会第91回大会,名古屋大学,名古屋,活性と安定性の向上に向けた電極触媒理論の開拓,大岡英史、中村龍平,Oral,
20240321,日本化学会春季年会,日本大学,船橋,Post-Sabatierを目指した電極触媒理論の開拓：活性と安定性の両立に向けて,大岡英史、中村龍平,Oral,
20240326,日本農芸化学会2024年度大会,東京農業大学,東京,酵素活性と基質への結合親和性に関するバイオインフォマティクス解析,田村太陽、大岡英史、藤島皓介,Oral,
20240617,第3回分子生命反応創発討論会,沖縄科学技術大学院大学（OIST）,沖縄,Understanding Enzymatic Activity and Reversibility Using Microkinetic Models,大岡英史,Poster,
20240617,第3回分子生命反応創発討論会,沖縄科学技術大学院大学（OIST）,沖縄,Bioinformatic Analysis on the Relationship Between the Rate Constant and Substrate Binding Affinity of Enzymes,田村太陽、大岡英史、藤島皓介,Poster,
20240627,MIMS/CMMA自己組織化セミナー,明治大学,中野キャンパス,実験・数理・機械学習による触媒反応の動力学解析,大岡英史,Invited,
20240213,理研Discovery Evening,理化学研究所,和光キャンパス,自然界の法則を見つけるための自分磨き,大岡英史,Invited,
20240109,The 12th ELSI Symposium,東京農業大学 地球生命研究所,東京,Autocatalytic Threshold to Sustain Chemical Reaction Networks in the Presence of Diffusion,大岡英史,Poster,
20240109,The 12th ELSI Symposium,東京農業大学 地球生命研究所,東京,Bioinformatic Assessment on the Linear Scaling Relationship between the Binding Affinity and the Rate Constant of Enzymes,田村太陽、大岡英史、藤島皓介,Poster,
20240109,The 12th ELSI Symposium,東京農業大学 地球生命研究所,東京,Chemical Reaction Networks from a Non-autonomous Viewpoint,須田智晴、大岡英史、中村龍平,Poster,
20240526,日本地球惑星科学連合2024年大会,幕張メッセ,千葉,開放系化学反応ネットワークの維持に必要な速度論的要件,大岡英史、須田智晴、中村龍平,Oral,
20240902,研究室セミナー,明治大学,生田キャンパス,情報科学の時代における材料開発：実験・数理・情報の相補的な連携,大岡英史,Invited,
20240914,応用数理学会,京都大学,京都,電極触媒の劣化速度に関する力学系モデルの構築,大岡英史、Marie Wintzer、小松弘和、足立精宏、Ailong Li、Shuang Kong、橋爪大輔、望月敦史、中村龍平,Oral,
20250318,電気化学会第92回大会,東京農工大学,小金井,速度論による電極触媒の寿命予測,大岡英史、中村龍平,Oral,
20250403,Autocatalysis in Reaction Networks,Zoom,Zoom,Timescale decomposition of chemical reaction networks and implications towards autocatalysis,Hideshi Ooka,Oral,
20250707,Asian Conference for Mathematical Biology,Kyoto Terrsa,Kyoto,Timescale Decomposition of Linear Chemical Reaction Networks,"Hideshi Ooka, Hirokazu Komatsu, Sahaya Vijay Jeyaraj, Ryuhei Nakamura",Oral,
20250707,Asian Conference for Mathematical Biology,Kyoto Terrsa,Kyoto,Calculating the Lifetime of Autocatalytic Chemical Reaction Networks,"Sahaya Vijay Jeyaraj, Hirokazu Komatsu, Ryuhei Nakamura, Hideshi Ooka",Oral,
20250529,日本地球惑星科学連合2025年大会,幕張メッセ,千葉,自己触媒の増幅率に基づく化学反応ネットワークの安定性解析,大岡英史、Sahaya Vijay Jeyaraj、中村龍平,Oral,
20250212,近畿大学基礎工学セミナー,近畿大学,広島,触媒反応速度の向上に向けた数理モデルの開発,大岡英史,Invited,
20250319,つくばMeetUpDay,つくば国際会議場,つくば,グリーン水素の社会実装に向けた材料評価の１万倍加速,大岡英史,Oral,
20250903,応用数理学会,東京理科大学,東京,化学反応ネットワークにおける速度と駆動力の関係性,大岡英史、須田智晴、八束孝一、中村龍平,Oral,
20250909,"DX-Poly, DX-GEM若手の会",東京大学,東京,ポストサバティエ理論の構築に向けた速度論解析,大岡英史、中村龍平,Oral,
20251021,低炭素社会のための若手研究者を主体とする日中韓科学技術フォーラム,Zoom,Zoom,速度論による触媒特性の理解,大岡英史、中村龍平,Oral,
20260317,電気化学会第93回大会,東京理科大学,野田キャンパス,律速段階に依存しない酸素発生反応の速度式の開発,大岡英史、須田智晴、八束孝一、中村龍平,Oral,
